Date,Domestic,Atlantic,Latin America,Pacific,International***,Total,NX Goods,Jet Fuel Spot Price FOB ($ per Gallon),CPI,IPI,Retail traid US total
10/31/2002,1458.666,486.393,152.429,827.855,2667.598,5592.94,-39488.00,0.79,181.200,90.3988,261953.00
11/30/2002,1296.241,480.208,128.744,780.295,2463.807,5149.294,-43800.00,0.708,181.500,90.8947,263568.00
12/31/2002,1262.516,424.351,161.397,643.024,2071.804,4563.092,-47290.00,0.811,181.800,90.3906,265930.00
1/31/2003,1177.785,394.155,135.919,591.492,1948.974,4248.325,-44682.00,0.887,182.600,91.1369,267230.00
2/28/2003,1079.561,423.668,159.528,553.606,1909.486,4125.848,-43453.00,1.055,183.600,91.2505,263188.00
3/31/2003,1233.953,482.276,153.558,730.667,2423.222,5023.676,-47085.00,0.893,183.900,91.0006,267820.00
4/30/2003,1208.202,414.988,145.716,650.184,2119.864,4538.954,-45665.00,0.743,183.200,90.4311,267197.00
5/31/2003,1243.021,429.335,139.429,667.973,2089.551,4569.309,-45108.00,0.714,182.900,90.4000,267362.00
6/30/2003,1207.785,413.324,129.411,680.507,2171.832,4602.858,-43896.00,0.748,183.100,90.5196,270396.00
7/31/2003,1263.991,425.483,131.996,705.342,2141.832,4668.644,-44942.00,0.78,183.700,90.9869,273352.00
8/31/2003,1318.439,401.435,126.897,690.555,2108.819,4646.145,-43611.00,0.823,184.500,90.7933,277965.00
9/30/2003,1276.318,412.495,120.827,654.6,2243.824,4708.065,-45611.00,0.738,185.100,91.3819,276430.00
10/31/2003,1460.485,446.722,133.673,709.961,2530.605,5281.445,-45370.00,0.82,184.900,91.5049,274764.00
11/30/2003,1338.77,445.908,134.814,717.497,2490.98,5127.968,-44024.00,0.831,185.000,92.1265,278298.00
12/31/2003,1424.216,423.694,130.584,654.083,2268.23,4900.808,-48196.00,0.876,185.500,92.1732,277612.00
1/31/2004,1234.82,404.747,125.103,581.697,2034.023,4380.39,-48867.00,0.998,186.300,92.3268,278913.00
2/28/2004,1264.422,454.065,141.983,656.754,2207.643,4724.867,-49027.00,0.933,186.700,92.8995,280932.00
3/31/2004,1416.58,507.576,158.567,773.97,2623.703,5480.396,-51543.00,0.947,187.100,92.5368,286209.00
4/30/2004,1343.959,472.597,151.14,752.613,2391.456,5111.765,-52183.00,0.973,187.400,92.8957,282952.00
5/31/2004,1324.742,487.779,152.962,752.106,2513.265,5230.854,-52560.00,1.092,188.200,93.5845,288252.00
6/30/2004,1330.791,473.068,145.735,759.909,2506.775,5216.277,-58940.00,1.032,188.900,92.8651,284133.00
7/31/2004,1359.618,490.816,144.706,794.28,2603.149,5392.568,-56104.00,1.145,189.100,93.5502,287358.00
8/31/2004,1331.533,456.164,150.711,779.381,2559.62,5277.409,-56935.00,1.227,189.200,93.6301,287941.00
9/30/2004,1393.407,482.506,144.757,807.077,2632.201,5459.947,-55895.00,1.362,189.800,93.7353,293139.00
10/31/2004,1527.978,526.152,161.371,864.354,2821.206,5901.061,-59561.00,1.52,190.800,94.5695,295115.00
11/30/2004,1397.973,504.501,162.887,847.675,2765.008,5678.043,-63496.00,1.347,191.700,94.8015,296177.00
12/31/2004,1526.984,506.006,158.768,827.169,2652.455,5671.38,-59655.00,1.223,191.700,95.5415,299763.00
1/31/2005,1280.516,470.104,116.254,633.013,2501.424,5001.31,-61181.00,1.334,191.600,95.8785,296696.00
2/28/2005,1253.13,494.568,125.025,578.975,2313.955,4765.652,-63446.00,1.334,192.400,96.5709,300557.00
3/31/2005,1469.765,571.629,140.729,704.376,2899.677,5786.176,-58949.00,1.562,193.100,96.4345,301308.00
4/30/2005,1226.824,500.753,185.866,749.52,2827.331,5490.294,-62621.00,1.573,193.700,96.6347,303760.00
5/31/2005,1261.165,483.805,171.796,742.632,2674.626,5334.024,-61685.00,1.471,193.600,96.7251,301776.00
6/30/2005,1351.714,490.711,175.316,789.627,2747.346,5554.714,-63601.00,1.654,193.700,97.1483,310989.00
7/31/2005,1325.121,504.968,163.395,783.557,2712.101,5489.141,-63343.00,1.665,194.900,96.8397,313520.00
8/31/2005,1266.499,472.316,165.186,768.134,2766.478,5438.612,-63929.00,1.874,196.100,97.1584,310046.00
9/30/2005,1274.32,481.14,157.462,770.048,2895.195,5578.165,-70530.00,2.232,198.800,95.2764,310673.00
10/31/2005,1309.095,524.234,171.474,838.627,3086.338,5929.768,-73179.00,2.398,199.100,96.4411,310479.00
11/30/2005,1322.617,521.38,196.747,826.885,2944.468,5812.097,-69822.00,1.698,198.100,97.5016,313303.00
12/31/2005,1405.02,519.73,192.825,776.914,2880.544,5775.034,-70516.00,1.727,198.100,97.9723,313473.00
1/31/2006,1153.228,447.197,155.779,687.04,2530.238,4973.482,-72871.00,1.816,199.300,98.1270,322348.00
2/28/2006,1090.957,474.039,135.886,645.797,2418.701,4765.38,-67493.00,1.754,199.400,98.1687,320171.00
3/31/2006,1393.293,552.014,162.73,871.204,3105.256,6084.496,-68017.00,1.875,199.700,98.3913,320869.00
4/30/2006,1260.969,506.06,153.644,808.995,2754.002,5483.669,-68707.00,2.074,200.700,98.6826,322561.00
5/31/2006,1262.065,515.036,153.991,768.171,2706.579,5405.842,-71283.00,2.07,201.300,98.7074,321794.00
6/30/2006,1322.622,532.337,161.736,819.451,2792.542,5628.687,-69728.00,2.081,201.800,99.0398,323184.00
7/31/2006,1209.683,498.529,149.042,814.321,2912.872,5584.447,-72687.00,2.154,202.900,98.9751,324204.00
8/31/2006,1358.627,481.443,181.463,850.615,2878.835,5750.984,-74214.00,2.133,203.800,99.4047,325324.00
9/30/2006,1292.727,512.139,189.589,856.212,3074.047,5924.714,-71279.00,1.81,202.800,99.2246,323236.00
10/31/2006,1309.028,535.173,202.355,869.592,3108.472,6024.62,-65954.00,1.739,201.900,99.1229,322678.00
11/30/2006,1332.611,514.236,201.009,871.979,3153.145,6072.98,-65796.00,1.733,202.000,99.0963,323343.00
12/31/2006,1376.717,509.84,202.419,793.645,3036.181,5918.801,-69259.00,1.81,203.100,100.1125,326849.00
1/31/2007,1176.577,460.586,198.425,691.961,2624.228,5151.777,-65776.00,1.654,203.437,99.7546,327181.00
2/28/2007,1114.175,474.758,179.612,637.095,2574.831,4980.471,-66380.00,1.74,204.226,100.7166,327953.00
3/31/2007,1328.374,555.262,198.343,859.222,3123.484,6064.685,-70644.00,1.846,205.288,100.8952,330579.00
4/30/2007,1195.998,493.041,199.206,778.989,2947.024,5614.258,-68670.00,2.036,205.904,101.5723,329560.00
5/31/2007,1276.608,516.114,185.351,770.415,2926.301,5674.788,-67895.00,2.044,206.755,101.6269,334202.00
6/30/2007,1265.465,526.39,178.678,778.598,3057.067,5806.199,-68735.00,2.099,207.234,101.6547,331076.00
7/31/2007,1215.468,509.212,179.113,785.374,2990.792,5679.958,-69198.00,2.137,207.603,101.4953,332342.00
8/31/2007,1340.747,504.841,190.546,826.508,2906.615,5769.257,-67060.00,2.092,207.667,101.6943,334169.00
